index,x1,label
0,6.8,1
1,2.7,0
2,4.4,1
3,8.2,1
4,7.1,1
5,-1.4,0
6,4.4,1
7,1.0,1
8,1.2,1
9,2.7,1
10,1.9,1
11,5.9,1
12,3.8,1
13,1.9,1
14,2.8,1
15,2.5,1
16,6.0,1
17,0.9,1
18,2.4,0
19,-1.1,1
20,-6.2,1
21,3.5,0
22,4.1,1
23,-0.7,1
24,8.3,1
25,-2.9,0
26,1.6,0
27,0.9,1
28,6.1,1
29,5.9,1
30,2.0,0
31,2.6,0
32,-1.2,0
33,-4.4,0
34,0.5,0
35,2.0,1
36,5.2,1
37,5.1,1
38,0.3,1
39,0.6,1
40,-1.6,0
41,-2.8,0
42,-3.6,0
43,7.4,1
44,-0.0,1
45,0.2,1
46,-2.3,0
47,3.8,1
48,-3.3,0
49,0.9,0
50,-1.2,0
51,2.7,1
52,-0.0,1
53,-2.0,0
54,1.4,0
55,2.8,1
56,1.7,1
57,2.4,1
58,-0.4,0
59,0.4,0
60,-0.5,0
61,0.4,0
62,-0.9,0
63,-3.7,0
64,2.0,0
65,0.3,0
66,-3.4,1
67,2.9,1
68,-1.2,1
69,1.7,0
70,3.7,0
71,1.9,0
72,4.9,0
73,-2.2,0
74,2.7,0
75,-0.6,0
76,-1.1,0
77,-0.2,0
78,0.6,0
79,1.7,0
80,-2.0,0
81,4.2,1
82,2.9,1
83,-3.1,0
84,6.0,1
85,7.2,1
86,5.0,1
87,1.0,0
88,-1.7,0
89,4.7,0
90,0.3,0
91,5.2,1
92,2.1,1
93,4.4,0
94,2.6,1
95,3.6,1
96,1.5,1
97,6.9,1
98,1.9,1
99,2.7,1
100,7.1,1
101,-2.5,0
102,-2.3,0
103,4.4,0
104,-2.0,0
105,7.3,1
106,0.3,0
107,-0.7,0
108,7.3,1
109,5.9,0
110,7.1,1
111,4.2,0
112,-1.1,1
113,7.2,1
114,0.7,1
115,3.9,1
116,4.3,0
117,1.0,1
118,3.3,0
119,4.3,0
120,2.6,0
121,-1.8,0
122,2.4,0
123,5.5,1
124,-0.6,0
125,1.1,1
126,0.2,0
127,7.0,1
128,3.5,0
129,2.7,1
130,-0.8,0
131,3.1,1
132,-0.5,0
133,1.6,0
134,-0.4,0
135,3.5,1
136,3.2,1
137,0.9,1
138,2.7,0
139,-1.8,0
140,-3.0,1
141,2.8,1
142,2.0,0
143,3.4,0
144,8.6,1
145,4.3,0
146,-1.2,0
147,4.9,0
148,-2.4,0
149,0.1,1
150,1.3,0
151,6.6,0
152,-0.7,0
153,-1.0,0
154,1.2,0
155,-0.5,1
156,4.9,0
157,-1.7,0
158,-1.9,0
159,0.2,0
160,0.0,1
161,7.3,1
162,4.3,0
163,1.8,1
164,-2.2,1
165,4.0,0
166,-1.5,0
167,-3.1,0
168,5.1,0
169,2.5,1
170,4.3,1
171,2.5,1
172,4.1,1
173,-0.5,0
174,-1.6,1
175,3.5,1
176,-0.9,0
177,-0.6,1
178,0.1,1
179,1.6,0
180,0.4,0
181,-2.6,0
182,-0.4,0
183,-5.2,0
184,3.4,0
185,-3.3,0
186,-1.8,0
187,1.7,1
188,-0.7,1
189,6.1,1
190,-2.4,0
191,2.3,1
192,1.4,0
193,-2.0,1
194,3.1,0
195,1.0,0
196,3.8,1
197,4.0,1
198,8.0,1
199,5.5,1
200,0.4,0
201,0.8,1
202,4.8,1
203,3.5,1
204,3.4,1
205,-3.4,0
206,1.4,1
207,-0.7,0
208,2.3,0
209,1.2,1
210,4.2,0
211,2.5,1
212,3.9,0
213,0.1,0
214,-1.3,0
215,0.3,1
216,1.4,0
217,2.6,1
218,8.3,1
219,1.4,1
220,-1.4,0
221,0.5,1
222,0.1,0
223,2.9,0
224,-3.1,0
225,1.7,1
226,2.0,1
227,2.2,1
228,-0.3,1
229,0.8,1
230,-2.8,0
231,0.0,0
232,-0.1,0
233,2.7,1
234,-2.0,0
235,3.8,1
236,6.0,1
237,-4.7,0
238,2.8,1
239,3.5,1
240,-0.4,1
241,0.3,0
242,1.1,0
243,0.6,0
244,0.6,1
245,-3.5,0
246,5.0,1
247,4.7,1
248,-0.9,0
249,-2.9,0
250,3.1,1
251,-0.2,1
252,1.9,1
253,0.5,1
254,3.6,0
255,3.6,1
256,-0.7,0
257,-2.7,0
258,-3.2,1
259,3.3,1
260,-2.1,0
261,-0.0,0
262,-0.3,0
263,1.3,1
264,-4.3,0
265,2.1,0
266,3.1,1
267,1.8,1
268,0.6,0
269,1.8,0
270,2.7,0
271,-6.8,0
272,7.4,1
273,2.7,0
274,-0.5,0
275,0.3,1
276,3.0,0
277,1.2,1
278,-4.6,0
279,7.7,0
280,1.2,0
281,4.6,0
282,-0.6,0
283,6.1,1
284,2.4,1
285,3.3,1
286,-1.6,1
287,5.1,1
288,3.6,1
289,5.4,1
290,-0.4,0
291,0.1,0
292,8.4,1
293,-1.7,0
294,1.1,0
295,4.9,1
296,1.8,0
297,3.2,0
298,0.3,1
299,2.6,0
300,-2.4,1
301,6.5,0
302,1.1,0
303,-0.5,0
304,3.5,1
305,0.1,0
306,-2.5,0
307,-2.5,0
308,3.6,0
309,1.0,0
310,1.1,1
311,4.7,1
312,-1.9,0
313,-0.7,0
314,0.3,1
315,1.8,0
316,1.4,0
317,0.6,0
318,1.3,1
319,1.2,1
320,-0.7,0
321,-0.9,0
322,2.3,1
323,-1.2,0
324,-2.0,0
325,0.6,0
326,1.0,1
327,8.3,1
328,-0.6,0
329,4.3,1
330,3.7,1
331,-2.1,1
332,3.8,1
333,-2.1,0
334,-6.5,0
335,3.3,0
336,-3.8,0
337,2.9,1
338,-0.6,0
339,6.5,1
340,4.7,1
341,0.1,0
342,-0.6,0
343,-2.1,0
344,0.2,1
345,0.7,0
346,0.4,0
347,2.0,0
348,3.2,0
349,2.5,0
350,-0.8,0
351,-2.8,0
352,5.6,1
353,-0.6,0
354,-0.5,0
355,-0.1,1
356,-4.0,0
357,0.1,0
358,0.1,0
359,3.4,0
360,3.6,1
361,1.5,1
362,4.3,1
363,2.5,1
364,1.5,1
365,2.0,0
366,0.9,1
367,0.3,0
368,0.7,1
369,-1.9,0
370,2.3,0
371,-1.5,0
372,4.0,0
373,0.8,1
374,1.6,0
375,3.0,1
376,3.4,0
377,-3.2,1
378,0.9,0
379,4.1,1
380,-3.6,1
381,2.7,1
382,-5.3,1
383,-1.6,0
384,1.6,1
385,-3.5,1
386,-1.5,1
387,-2.9,0
388,6.4,1
389,2.0,0
390,3.2,1
391,0.8,0
392,0.4,0
393,-3.3,1
394,0.6,0
395,-0.8,1
396,4.1,1
397,4.9,1
398,5.9,1
399,4.1,1
400,-0.3,0
401,-1.8,1
402,3.8,1
403,2.6,0
404,-3.8,1
405,2.6,1
406,3.9,1
407,1.7,0
408,0.9,1
409,-0.9,0
410,-2.8,0
411,3.9,1
412,0.6,0
413,0.8,0
414,6.7,1
415,3.6,1
416,2.6,1
417,1.9,0
418,6.1,1
419,6.7,1
420,4.3,0
421,3.2,0
422,-4.8,0
423,1.9,0
424,1.1,1
425,1.8,0
426,4.3,0
427,-6.7,0
428,-0.2,1
429,2.3,1
430,0.1,0
431,-2.8,0
432,4.1,1
433,2.3,0
434,-1.4,0
435,2.4,1
436,4.0,1
437,1.5,0
438,3.9,0
439,1.7,0
440,0.3,0
441,-2.0,1
442,1.2,1
443,2.1,1
444,4.1,1
445,1.2,0
446,2.9,0
447,-1.4,1
448,-0.8,1
449,1.2,1
450,-1.7,0
451,4.0,0
452,2.9,1
453,2.3,1
454,2.5,0
455,7.6,1
456,0.1,1
457,-5.1,0
458,2.1,0
459,1.3,1
460,-0.1,0
461,-1.4,0
462,0.2,0
463,2.0,1
464,-0.0,0
465,8.7,1
466,-1.4,0
467,-0.9,0
468,-5.4,0
469,2.3,1
470,-4.5,0
471,-0.1,1
472,0.7,1
473,-0.6,1
474,6.7,0
475,4.5,0
476,5.5,1
477,-1.1,1
478,4.9,0
479,3.0,1
480,3.8,1
481,4.6,1
482,-1.2,0
483,0.2,0
484,4.1,1
485,-6.5,0
486,6.0,1
487,3.2,0
488,1.4,1
489,2.2,0
490,-1.6,0
491,0.5,0
492,4.8,0
493,5.4,1
494,9.6,1
495,1.3,0
496,-0.5,0
497,-0.0,0
498,-1.6,0
499,1.3,0
