index,x1,x2,label
0,-2.06,-1.13,0
1,1.83,0.41,0
2,-0.38,0.63,0
3,0.11,0.49,0
4,1.12,-2.65,0
5,2.8,-1.41,0
6,-2.2,-0.6,0
7,-0.62,-2.48,0
8,-2.27,0.47,0
9,2.86,-1.15,0
10,1.01,-2.57,0
11,0.14,0.12,0
12,1.9,-2.18,0
13,-0.33,0.53,0
14,-0.67,-2.54,0
15,0.97,-0.9,0
16,1.88,-2.0,0
17,-2.25,0.65,0
18,1.71,1.01,0
19,-0.43,2.22,0
20,-0.06,0.58,0
21,-0.14,-0.79,0
22,-1.65,-1.93,0
23,-1.71,-1.3,0
24,-2.11,-1.01,0
25,0.25,2.16,0
26,3.18,0.16,0
27,3.12,-0.15,0
28,-1.29,-2.09,0
29,-1.75,-1.43,0
30,-1.25,-2.04,0
31,0.22,1.97,0
32,0.16,-1.12,0
33,-0.69,-2.45,0
34,-2.05,0.96,0
35,1.4,1.28,0
36,-1.63,1.43,0
37,2.41,-1.78,0
38,3.01,-1.14,0
39,0.75,1.87,0
40,-2.36,-0.12,0
41,1.24,1.44,0
42,-2.31,-0.58,0
43,1.05,1.73,0
44,0.19,2.08,0
45,2.43,-1.92,0
46,1.63,-0.37,0
47,-2.05,-1.04,0
48,-0.77,-0.35,0
49,1.39,-2.29,0
50,0.58,-2.74,0
51,1.67,-0.01,0
52,2.12,-1.85,0
53,-0.51,0.35,0
54,1.11,1.68,0
55,0.45,-1.08,0
56,-1.07,1.78,0
57,0.89,-2.6,0
58,1.5,-0.18,0
59,-0.46,0.3,0
60,-0.27,2.03,0
61,1.16,-0.74,0
62,-0.5,-0.52,0
63,-2.26,-0.19,0
64,1.71,1.08,0
65,-1.37,-1.68,0
66,1.34,-0.82,0
67,2.96,-0.91,0
68,0.75,1.89,0
69,-0.46,-0.7,0
70,-2.1,-1.06,0
71,2.96,-1.21,0
72,-0.73,1.95,0
73,2.98,-0.61,0
74,-1.65,1.4,0
75,-0.53,2.05,0
76,-1.98,-1.1,0
77,3.21,0.01,0
78,2.96,-0.92,0
79,-1.07,1.89,0
80,0.02,-2.54,0
81,-1.83,1.33,0
82,-2.09,0.64,0
83,0.66,-2.47,0
84,-0.34,1.97,0
85,-0.5,-2.47,0
86,-0.93,-2.31,0
87,3.0,-1.2,0
88,-0.33,-0.69,0
89,-0.42,-2.49,0
90,2.8,-1.19,0
91,3.25,-0.58,0
92,0.1,0.4,0
93,2.07,-2.01,0
94,3.1,-0.33,0
95,3.0,-0.78,0
96,0.24,-1.0,0
97,3.31,-0.47,0
98,2.34,-1.7,0
99,1.26,-2.6,0
100,-1.61,1.44,0
101,1.65,-0.22,0
102,0.74,-2.46,0
103,2.71,-1.38,0
104,1.83,0.32,0
105,-2.19,0.6,0
106,-1.0,1.96,0
107,2.92,-1.16,0
108,-0.47,0.43,0
109,-0.63,-2.4,0
110,-1.99,-0.76,0
111,-0.16,0.59,0
112,-0.62,-2.24,0
113,0.22,0.61,0
114,-0.09,-2.71,0
115,-2.02,1.21,0
116,2.77,-1.21,0
117,-0.66,0.12,0
118,1.57,-2.43,0
119,-0.56,0.07,0
120,0.99,1.7,0
121,-0.62,2.1,0
122,3.13,-0.57,0
123,-2.13,0.3,0
124,1.8,0.21,0
125,1.74,0.01,0
126,2.45,-1.91,0
127,1.54,-0.37,0
128,-0.27,-0.81,0
129,1.75,0.91,0
130,-2.26,-0.44,0
131,-2.13,0.38,0
132,1.16,-2.56,0
133,-2.14,0.06,0
134,1.78,0.9,0
135,-0.44,2.1,0
136,1.21,-2.47,0
137,-2.13,-1.11,0
138,3.24,-0.61,0
139,0.7,2.08,0
140,-2.32,0.49,0
141,-2.3,-0.45,0
142,1.83,-2.29,0
143,0.3,-0.98,0
144,-0.02,2.25,0
145,2.74,-1.63,0
146,-0.38,0.34,0
147,1.28,-2.33,0
148,-0.49,2.13,0
149,1.48,-2.56,0
150,0.21,0.5,0
151,0.52,1.86,0
152,-0.65,-0.3,0
153,-1.79,-1.57,0
154,1.76,0.67,0
155,-1.17,-2.11,0
156,2.91,-0.81,0
157,-0.1,-0.97,0
158,2.04,-1.96,0
159,-0.74,0.1,0
160,0.38,2.13,0
161,-0.52,1.98,0
162,-1.68,1.52,0
163,3.23,-0.32,0
164,0.47,-2.75,0
165,1.55,1.14,0
166,1.65,0.48,0
167,2.12,-2.24,0
168,2.22,-1.85,0
169,-1.78,1.1,0
170,0.99,1.83,0
171,3.37,0.1,0
172,1.53,1.26,0
173,1.09,-0.94,0
174,2.34,-1.86,0
175,1.02,-2.41,0
176,-1.43,-1.64,0
177,3.01,-0.69,0
178,2.77,-1.21,0
179,-0.15,-2.42,0
180,2.02,-2.28,0
181,1.58,0.24,0
182,0.09,-1.04,0
183,-1.56,-1.7,0
184,-0.71,-2.42,0
185,0.53,-0.89,0
186,0.17,2.21,0
187,2.61,-1.44,0
188,-2.17,0.07,0
189,-2.09,-0.18,0
190,1.03,-0.76,0
191,-2.01,0.82,0
192,-2.08,1.01,0
193,-0.56,-0.37,0
194,3.34,-0.33,0
195,-2.29,0.09,0
196,0.39,0.31,0
197,0.19,-2.71,0
198,3.22,-0.23,0
199,-2.31,-0.3,0
200,1.3,1.39,0
201,1.02,-0.87,0
202,-1.43,-1.7,0
203,1.13,-0.8,0
204,-2.21,-0.19,0
205,-2.11,-0.62,0
206,3.23,-0.52,0
207,-0.73,-0.0,0
208,-1.89,1.15,0
209,-0.35,-2.4,0
210,0.89,-0.97,0
211,0.31,2.17,0
212,-0.59,0.17,0
213,-0.58,-2.52,0
214,-0.77,-0.21,0
215,0.06,2.21,0
216,2.1,-1.95,0
217,-1.42,1.61,0
218,2.83,-1.54,0
219,0.05,-2.72,0
220,2.6,-1.39,0
221,-0.16,-1.03,0
222,-0.63,-0.1,0
223,-0.74,0.07,0
224,2.14,-2.02,0
225,-1.88,-1.28,0
226,-1.73,1.22,0
227,0.71,-1.09,0
228,-1.53,-1.94,0
229,1.42,1.44,0
230,-0.87,-2.31,0
231,-1.31,1.78,0
232,-1.89,1.14,0
233,0.64,-2.63,0
234,-0.45,-0.48,0
235,-2.13,-0.22,0
236,1.21,-0.67,0
237,0.9,-2.54,0
238,-1.68,1.31,0
239,3.13,-0.1,0
240,1.0,-0.99,0
241,3.13,-0.54,0
242,0.89,-2.47,0
243,-1.5,1.64,0
244,1.07,-2.64,0
